 starts ... 
1 0
0 10000
0 20000
0 30000
0 40000
0 50000
0 60000
0 70000
0 80000
0 90000
0 100000
0 110000
0 120000
0 130000
0 140000
0 150000
0 160000
0 170000
0 180000
0 190000
0 200000
0 210000
0 220000
0 230000
0 240000
0 250000
0 260000
0 270000
0 280000
0 290000
0 300000
0 310000
0 320000
0 330000
0 340000
0 350000
0 360000
0 370000
0 380000
0 390000
0 400000
0 410000
0 420000
0 430000
0 440000
0 450000
0 460000
0 470000
0 480000
0 490000
0 500000
0 510000
0 520000
0 530000
0 540000
0 550000
0 560000
0 570000
0 580000
0 590000
0 600000
0 610000
0 620000
0 630000
0 640000
0 650000
0 660000
0 670000
0 680000
0 690000
0 700000
0 710000
0 720000
0 730000
0 740000
0 750000
0 760000
0 770000
0 780000
0 790000
0 800000
0 810000
0 820000
0 830000
0 840000
0 850000
0 860000
0 870000
0 880000
0 890000
0 900000
0 910000
0 920000
0 930000
0 940000
0 950000
0 960000
0 970000
0 980000
0 990000
0 1000000
0 1010000
0 1020000
0 1030000
0 1040000
0 1050000
0 1060000
0 1070000
0 1080000
0 1090000
0 1100000
0 1110000
0 1120000
0 1130000
0 1140000
0 1150000
0 1160000
0 1170000
0 1180000
0 1190000
0 1200000
0 1210000
0 1220000
0 1230000
0 1240000
0 1250000
0 1260000
0 1270000
0 1280000
0 1290000
0 1300000
0 1310000
0 1320000
0 1330000
0 1340000
0 1350000
0 1360000
0 1370000
0 1380000
0 1390000
0 1400000
0 1410000
0 1420000
0 1430000
0 1440000
0 1450000
0 1460000
0 1470000
0 1480000
0 1490000
0 1500000
0 1510000
0 1520000
0 1530000
0 1540000
0 1550000
0 1560000
0 1570000
0 1580000
0 1590000
0 1600000
0 1610000
0 1620000
0 1630000
0 1640000
0 1650000
0 1660000
0 1670000
0 1680000
0 1690000
0 1700000
0 1710000
0 1720000
0 1730000
0 1740000
0 1750000
0 1760000
0 1770000
0 1780000
0 1790000
0 1800000
0 1810000
0 1820000
0 1830000
0 1840000
0 1850000
0 1860000
0 1870000
0 1880000
0 1890000
0 1900000
0 1910000
0 1920000
0 1930000
0 1940000
0 1950000
0 1960000
0 1970000
0 1980000
0 1990000
0 2000000
0 2010000
0 2020000
0 2030000
0 2040000
0 2050000
0 2060000
0 2070000
0 2080000
0 2090000
0 2100000
0 2110000
0 2120000
0 2130000
0 2140000
0 2150000
0 2160000
0 2170000
0 2180000
0 2190000
0 2200000
0 2210000
0 2220000
0 2230000
0 2240000
0 2250000
0 2260000
0 2270000
0 2280000
0 2290000
0 2300000
0 2310000
0 2320000
0 2330000
0 2340000
0 2350000
0 2360000
0 2370000
