date,time,Air_Temp,Barometric_Press,Dew_Point,Relative_Humidity,Wind_Dir,Wind_Gust,Wind_Speed
2015_01_01,0:02:43,19.5,30.62,14.78,81.6,159.78,14,9.2
2015_01_01,0:02:52,19.5,30.62,14.78,81.6,159.78,14,9.2
2015_01_01,0:07:43,19.5,30.61,14.66,81.2,155.63,11,8.6
2015_01_01,0:07:52,19.5,30.61,14.66,81.2,155.63,11,8.6
2015_01_01,0:12:43,19.68,30.61,15.2,82.4,166.59,12,9.4
2015_01_01,0:12:52,19.68,30.61,15.2,82.4,166.59,12,9.4
2015_01_01,0:17:43,19.78,30.61,15.18,82,160.58,13,10
2015_01_01,0:17:53,19.78,30.61,15.18,82,160.58,13,10
2015_01_01,0:22:43,19.8,30.61,15.38,82.6,154.6,13,10
2015_01_01,0:22:53,19.8,30.61,15.38,82.6,154.6,13,10
2015_01_01,0:27:43,19.82,30.6,15.4,82.6,168.04,13,10
2015_01_01,0:27:53,19.82,30.6,15.4,82.6,168.04,13,10
2015_01_01,0:32:43,19.84,30.6,15.72,83.6,163.77,13,10.6
2015_01_01,0:32:53,19.84,30.6,15.72,83.6,163.77,13,10.6
2015_01_01,0:37:43,19.76,30.6,15.16,82,161.59,12,8.6
2015_01_01,0:37:53,19.76,30.6,15.16,82,161.59,12,8.6
2015_01_01,0:42:43,19.64,30.6,14.98,81.8,160.28,12,8.6
2015_01_01,0:42:53,19.64,30.6,14.98,81.8,160.28,12,8.6
2015_01_01,0:47:43,19.5,30.6,15.02,82.4,157.6,12,7.6
2015_01_01,0:47:53,19.5,30.6,15.02,82.4,157.6,12,7.6
2015_01_01,0:52:43,19.5,30.6,15.08,82.6,145.19,12,7.8
2015_01_01,0:52:53,19.5,30.6,15.08,82.6,145.19,12,7.8
2015_01_01,0:57:43,19.4,30.6,14.74,81.8,142.56,12,7.4
2015_01_01,0:57:53,19.4,30.6,14.74,81.8,142.56,12,7.4
2015_01_01,1:02:43,19.38,30.61,14.96,82.6,148.02,12,7.4
2015_01_01,1:02:53,19.38,30.61,14.96,82.6,148.02,12,7.4
2015_01_01,1:07:44,19.44,30.6,15.2,83.2,138.8,11,7.2
2015_01_01,1:07:53,19.44,30.6,15.2,83.2,138.8,11,7.2
2015_01_01,1:12:44,19.5,30.61,15.2,83,137.66,11,5.4
2015_01_01,1:12:53,19.5,30.61,15.2,83,137.66,11,5.4
2015_01_01,1:17:44,19.58,30.6,15.56,84,150.35,11,7.6
2015_01_01,1:17:53,19.58,30.6,15.56,84,150.35,11,7.6
2015_01_01,1:22:44,19.58,30.61,15.4,83.4,145.38,11,7.4
2015_01_01,1:22:53,19.58,30.61,15.4,83.4,145.38,11,7.4
2015_01_01,1:27:44,19.6,30.6,15.48,83.6,154.8,13,9.4
2015_01_01,1:27:53,19.6,30.6,15.48,83.6,154.8,13,9.4
2015_01_01,1:32:44,19.6,30.6,15.3,83,149.8,13,7.6
2015_01_01,1:32:54,19.6,30.6,15.3,83,149.8,13,7.6
2015_01_01,1:37:44,19.72,30.6,15.8,84.4,141.85,13,9.8
2015_01_01,1:37:54,19.72,30.6,15.8,84.4,141.85,13,9.8
2015_01_01,1:42:44,19.68,30.6,15.44,83.2,149.93,13,8.8
2015_01_01,1:42:54,19.68,30.6,15.44,83.2,149.93,13,8.8
2015_01_01,1:47:44,19.6,30.6,15.74,84.6,156.45,13,8.4
2015_01_01,1:47:54,19.6,30.6,15.74,84.6,156.45,13,8.4
2015_01_01,1:52:44,19.8,30.6,15.88,84.4,156.2,13,7.4
