date,time,Air_Temp,Barometric_Press,Dew_Point,Relative_Humidity,Wind_Dir,Wind_Gust,Wind_Speed
2013_01_01,0:03:23,30.8,28.3,21.3,67.4,98.6,4,0
2013_01_01,6:29:08,28,28.4,24.2,85.2,61.8,2,0
2013_01_01,6:35:16,28.1,28.4,24.6,86.6,52.2,1,0
2013_01_01,6:41:25,28.1,28.4,24.6,86.4,62.8,2,0
2013_01_01,6:47:33,28,28.4,24.3,85.6,45.6,2,0.2
2013_01_01,6:53:41,28,28.4,24.7,87.4,36.4,4,0
2013_01_01,6:59:50,28.2,28.4,24.8,86.8,43.8,4,0
2013_01_01,7:05:58,28.2,28.4,24,83.8,81.8,1,0
2013_01_01,7:12:06,28.8,28.4,24.6,83.8,103,1,0
2013_01_01,7:18:15,29.1,28.4,24.4,82.2,100,1,0
2013_01_01,7:24:23,29.3,28.4,24.9,83.4,99.2,1,0
2013_01_01,7:30:31,28.9,28.4,23.8,81,98.6,1,0
2013_01_01,20:55:08,28.8,28.5,22.1,75.4,59.4,1,0
2013_01_01,21:01:17,28.6,28.5,21.6,74.6,56,1,0
2013_01_02,1:15:04,28.7,28.4,21.5,74.2,52.8,1,0
2013_01_02,1:21:13,28.5,28.4,21.6,75,55,1,0
2013_01_02,1:27:21,28.5,28.5,21.2,73.6,56.2,1,0
2013_01_02,1:33:30,28.5,28.5,21.2,73.8,59,1,0
2013_01_02,2:06:10,28.9,28.5,22.5,76.6,77.6,1,0
2013_01_02,2:12:19,28.8,28.5,21.8,74.4,117,1,0
2013_01_02,2:18:27,28.8,28.5,21.8,74.8,127.2,1,0
2013_01_02,2:24:35,28.9,28.5,22.3,76,117.6,1,0
2013_01_02,2:30:43,28.8,28.5,21.8,74.8,127.4,1,0
2013_01_02,3:50:31,28.7,28.4,21.9,75.4,53.6,1,0
2013_01_02,3:56:39,28.6,28.4,21.8,75.4,52,1,0
2013_01_02,4:47:53,28.4,28.4,22.4,78.2,55.2,1,0
2013_01_02,4:54:01,28.5,28.4,22.1,76.6,60.2,1,0
2013_01_02,5:02:09,28.6,28.4,22.5,77.6,60.4,1,0
2013_01_02,14:36:04,30.2,28.4,20.6,67,63,1,0
2013_01_02,14:42:12,30.1,28.4,20.4,66.8,65,1,0
2013_01_02,14:48:21,30.2,28.4,20.9,67.8,14,3,0
2013_01_02,14:54:29,30.3,28.4,20.8,67.4,10,3,0
2013_01_02,15:00:37,30.3,28.4,20.9,67.8,10.4,3,0
2013_01_02,15:50:45,30.5,28.4,21.7,69.2,87.6,1,0.2
2013_01_02,15:56:53,30.8,28.4,21.9,69.2,108,1,0
2013_01_02,16:03:02,30.8,28.4,21.5,68,160.2,1,0
2013_01_02,16:24:27,30.7,28.4,21.9,69.4,32.6,1,0
2013_01_02,16:30:35,30.7,28.4,21.6,68.6,26.6,2,0
2013_01_02,16:36:44,30.6,28.4,21.7,69,17.4,1,0
2013_01_02,16:42:52,30.5,28.4,21.3,68.2,360,1,0
2013_01_02,16:49:01,30.5,28.4,21.1,67.8,360,1,0
2013_01_02,16:57:09,30.4,28.4,21.4,68.8,149.4,1,0
2013_01_02,18:08:18,30.5,28.4,23.5,75,49.8,1,0
2013_01_02,18:14:27,30.1,28.4,22.4,72.6,65,1,0
2013_01_02,18:20:39,29.9,28.4,22.5,73.6,29.6,2,0
2013_01_02,18:26:47,30,28.4,23.1,75.2,66.4,2,0
2013_01_02,18:32:55,30.1,28.4,22.6,73.4,13.8,2,0
2013_01_02,18:39:04,30,28.4,22.6,73.6,13.8,1,0
2013_01_02,18:45:12,29.9,28.4,22.6,73.8,108.8,1,0
2013_01_02,18:51:21,29.9,28.4,22.8,74.6,136.8,1,0
2013_01_02,18:57:30,30,28.4,23.1,75.2,65.8,1,0
2013_01_02,19:03:38,29.8,28.4,22.7,74.4,109.6,1,0
2013_01_02,19:40:29,29.5,28.4,22.6,75,15.6,1,0
2013_01_02,19:46:38,29.6,28.4,23.1,76.6,13,1,0.2
2013_01_02,19:52:46,29.3,28.4,22.9,76.6,44.2,1,0
2013_01_02,19:58:55,29.2,28.4,22.7,76.6,22.6,4,1
2013_01_02,20:05:03,29,28.4,22.7,76.8,22.4,4,0.8
2013_01_02,20:11:12,29,28.4,22.6,76.8,20.8,5,0
2013_01_02,20:17:20,29,28.4,22.4,76.2,11.8,7,4.6
2013_01_02,20:23:29,29.2,28.4,22.6,76,11.8,7,5.4
